"","X","title","year","length","imdb.score","votes","mpaa","Genre","BudgetRange"
"1",112,"10 Things I Hate About You",1999,97,6.7,19095,"PG-13","RomanticComedy","Modest"
"2",173,"13 Going On 30",2004,98,6.4,7859,"PG-13","RomanticDrama","BigBudget"
"3",192,"1492: Conquest of Paradise",1992,154,6,3379,"UR","Drama","BigBudget"
"4",197,"15 Minutes",2001,120,6.1,10866,"R","Drama","BigBudget"
"5",276,"200 Cigarettes",1999,101,5.4,4514,"R","Drama","Modest"
"6",291,"2046",2004,129,7.6,2663,"R","RomanticDrama","Modest"
"7",297,"21 Grams",2003,124,8,21857,"R","Drama","Modest"
"8",326,"25th Hour",2002,135,7.8,15788,"R","Drama","Modest"
"9",333,"28 Days",2000,103,6,7465,"PG-13","Drama","BigBudget"
"10",432,"40 Days and 40 Nights",2002,96,5.4,8609,"R","RomanticDrama","Modest"
"11",472,"50 First Dates",2004,99,6.8,13497,"PG-13","RomanticComedy","BigBudget"
"12",483,"54",1998,100,5.4,6905,"R","Drama","Modest"
"13",534,"8 Mile",2002,110,6.8,17900,"R","Drama","BigBudget"
"14",688,"Abandon",2002,99,4.7,2364,"PG-13","Drama","Modest"
"15",762,"About Schmidt",2002,125,7.3,23279,"R","Drama","Modest"
"16",763,"About a Boy",2002,101,7.5,18318,"PG-13","Drama","Modest"
"17",802,"Absolute Power",1997,121,6.4,7995,"R","Drama","BigBudget"
"18",966,"Adaptation.",2002,114,7.9,25140,"R","Drama","Modest"
"19",1079,"Adventures of Huck Finn, The",1993,108,5.9,1134,"UR","Drama","Modest"
"20",1166,"Affliction",1997,114,6.9,3679,"R","Drama","Modest"
"21",1274,"Age of Innocence, The",1993,139,7.1,6049,"UR","RomanticDrama","BigBudget"
"22",1385,"Air Bud",1997,98,4.7,1276,"PG","Drama","Modest"
"23",1530,"Albino Alligator",1996,97,6,2077,"R","Drama","Modest"
"24",1559,"Alexander",2004,175,5.5,11254,"R","Drama","BigBudget"
"25",1575,"Alferd Packer: The Musical",1996,97,7,2298,"R","RomanticComedy","Tiny"
"26",1577,"Alfie",2004,103,6,3492,"R","Drama","BigBudget"
"27",1586,"Ali",2001,165,6.4,9294,"R","Drama","BigBudget"
"28",1623,"Alice",1990,102,6.4,1706,"UR","RomanticDrama","Modest"
"29",1785,"All the Pretty Horses",2000,116,5.6,3133,"PG-13","Drama","BigBudget"
"30",1789,"All the Real Girls",2003,108,6.8,1745,"R","RomanticDrama","Modest"
"31",1884,"Almost Famous",2000,162,8,38648,"R","Drama","BigBudget"
"32",1911,"Along Came Polly",2004,90,5.8,9785,"PG-13","RomanticComedy","BigBudget"
"33",1912,"Along Came a Spider",2001,104,6.1,9456,"R","Drama","Modest"
"34",2098,"America's Sweethearts",2001,102,5.8,11849,"PG-13","RomanticComedy","BigBudget"
"35",2106,"American Beauty",1999,121,8.5,109991,"R","Drama","Modest"
"36",2149,"American History X",1998,119,8.4,59677,"R","Drama","Modest"
"37",2181,"American President, The",1995,114,6.9,11834,"PG-13","RomanticDrama","BigBudget"
"38",2182,"American Psycho",2000,102,6.8,21639,"R","Drama","Modest"
"39",2210,"American Werewolf in Paris, An",1997,105,5,4302,"R","RomanticComedy","Modest"
"40",2252,"Amistad",1997,152,7,10543,"R","Drama","BigBudget"
"41",2321,"Amores perros",2000,153,8.2,15079,"R","Drama","Modest"
"42",2518,"Angel Eyes",2001,102,5.6,4829,"R","RomanticDrama","BigBudget"
"43",2557,"Angela's Ashes",1999,145,6.8,4347,"UR","Drama","Modest"
"44",2702,"Anna and the King",1999,148,6.6,6739,"PG-13","RomanticDrama","BigBudget"
"45",2817,"Antitrust",2001,108,6,7326,"PG-13","Drama","Modest"
"46",2836,"Antwone Fisher",2002,117,7.4,4472,"PG-13","Drama","Modest"
"47",2845,"Any Given Sunday",1999,156,6.4,19531,"R","Drama","BigBudget"
"48",2861,"Anything Else",2003,108,6.5,3678,"R","RomanticComedy","Modest"
"49",2867,"Anywhere But Here",1999,114,5.9,4007,"PG-13","Drama","Modest"
"50",2927,"Apollo 13",1995,140,7.5,41098,"PG","Drama","BigBudget"
"51",2931,"Apostle, The",1997,134,7.2,4231,"PG-13","Drama","Modest"
"52",2988,"Apt Pupil",1998,112,6.4,6728,"R","Drama","Modest"
"53",3124,"Arlington Road",1999,117,7.1,17189,"R","Drama","Modest"
"54",3162,"Around the World in 80 Days",2004,120,5.7,3887,"PG","RomanticComedy","BigBudget"
"55",3231,"Artificial Intelligence: AI",2001,146,6.8,36623,"PG-13","Drama","BigBudget"
"56",3257,"As Good as It Gets",1997,139,7.7,47441,"PG-13","RomanticDrama","BigBudget"
"57",3417,"At First Sight",1999,128,5.7,3441,"PG-13","Drama","BigBudget"
"58",3625,"Auto Focus",2002,105,6.7,3276,"R","Drama","Modest"
"59",3666,"Autumn in New York",2000,103,4.7,3731,"PG-13","RomanticDrama","BigBudget"
"60",3677,"Avalon",2001,106,6.8,2723,"R","Drama","Modest"
"61",3727,"Aviator, The",2004,170,7.5,16217,"PG-13","Drama","BigBudget"
"62",3832,"Babe",1995,89,7.4,16988,"UR","Drama","Modest"
"63",3864,"Baby Boy",2001,130,6.2,1476,"R","RomanticDrama","Modest"
"64",3927,"Bacheha-Ye aseman",1997,89,7.6,1499,"UR","Drama","Tiny"
"65",3940,"Bachelor, The",1999,101,5,4183,"PG-13","RomanticComedy","Modest"
"66",4025,"Bad Boy Bubby",1993,112,7,1033,"UR","Drama","Tiny"
"67",4253,"Bamboozled",2000,135,6.3,2356,"R","Drama","Modest"
"68",4299,"Bandits",2001,123,6.7,12382,"PG-13","RomanticDrama","BigBudget"
"69",4316,"Banger Sisters, The",2002,98,5.6,3189,"R","Drama","Modest"
"70",4396,"Barbershop",2002,102,6.6,4943,"PG-13","Drama","Modest"
"71",4405,"Barcelona",1994,101,6.6,1570,"UR","RomanticDrama","Modest"
"72",4486,"Barton Fink",1991,116,7.5,10223,"UR","Drama","Modest"
"73",4503,"Basic",2003,98,6.2,8370,"R","Drama","BigBudget"
"74",4559,"Batman Forever",1995,122,5.4,24025,"PG-13","RomanticDrama","BigBudget"
"75",4560,"Batman Returns",1992,126,6.5,23010,"UR","RomanticDrama","BigBudget"
"76",4677,"Beach, The",2000,119,5.8,15020,"R","Drama","BigBudget"
"77",4780,"Beautiful Mind, A",2001,135,7.8,43291,"PG-13","Drama","BigBudget"
"78",4884,"Before Sunrise",1995,105,7.8,9618,"UR","RomanticDrama","Modest"
"79",4885,"Before Sunset",2004,80,8.3,8789,"R","RomanticDrama","Modest"
"80",4953,"Being John Malkovich",1999,113,7.9,55079,"UR","Drama","Modest"
"81",4954,"Being Julia",2004,104,7.2,1671,"R","Drama","Modest"
"82",5052,"Belly",1998,96,4.5,1034,"R","Drama","Modest"
"83",5061,"Beloved",1998,172,5.6,1934,"R","Drama","BigBudget"
"84",5212,"Best Laid Plans",1999,92,6.3,1795,"R","Drama","Modest"
"85",5270,"Better Luck Tomorrow",2002,98,7.3,2697,"R","Drama","Tiny"
"86",5358,"Beyond Borders",2003,127,5.4,1905,"R","RomanticDrama","BigBudget"
"87",5371,"Beyond Rangoon",1995,100,6.4,1285,"R","Drama","Modest"
"88",5404,"Beyond the Sea",2004,118,6.7,1051,"PG-13","Drama","Modest"
"89",5447,"Bicentennial Man",1999,132,6.2,8925,"PG","RomanticDrama","BigBudget"
"90",5535,"Big Fish",2003,125,8.1,31525,"PG-13","Drama","BigBudget"
"91",5717,"Billy Elliot",2000,110,7.7,16725,"R","Drama","Modest"
"92",5810,"Birth",2004,100,6,2600,"R","RomanticDrama","Modest"
"93",5818,"Birthday Girl",2001,93,6.1,5340,"R","RomanticDrama","Modest"
"94",6045,"Black and White",1999,98,5.2,1699,"R","Drama","Modest"
"95",6120,"Blast from the Past",1999,112,6.4,9483,"PG-13","RomanticDrama","BigBudget"
"96",6350,"Blood Work",2002,110,6.3,5965,"R","Drama","BigBudget"
"97",6357,"Blood and Wine",1996,101,6,2134,"R","Drama","Modest"
"98",6431,"Bloody Sunday",2002,107,7.6,2388,"R","Drama","Modest"
"99",6444,"Blow",2001,124,7.1,18670,"R","Drama","Modest"
"100",6484,"Blue Crush",2002,104,5.7,4791,"PG-13","RomanticDrama","Modest"
"101",6664,"Body of Evidence",1993,102,4.1,2625,"UR","RomanticDrama","Modest"
"102",6685,"Bogus",1996,110,5,1007,"PG","Drama","BigBudget"
"103",6694,"Boiler Room",2000,118,6.8,8586,"R","Drama","Modest"
"104",6768,"Bon voyage",2003,115,7.2,1061,"PG-13","Drama","Modest"
"105",6779,"Bone Collector, The",1999,118,6.2,17766,"R","Drama","BigBudget"
"106",6790,"Bonfire of the Vanities, The",1990,125,5,4151,"UR","Drama","BigBudget"
"107",6837,"Boogie Nights",1997,156,7.6,27380,"R","Drama","Modest"
"108",6867,"Boomerang",1992,118,5.1,3530,"UR","RomanticComedy","BigBudget"
